url,priority,title,state
https://github.com/Significant-Gravitas/AutoGPT/issues/4813,32.72,Command browse_website returned: Error: 'str' object has no attribute 'fast_llm_model',CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/5140,30.58,Docker file has missing gcc. Hence failed with errors when building psutil etc.,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/95,28.9,Installation issue with 'googlesearch-python',CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3716,28.48,Command Error: threw the following error: Missing 'command' object in JSON,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/91,27.5,This type of issues faced,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/7157,27.2,cant setup,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/151,26.08,"Logs, Watchdog, Monitored Continuous Mode [auto-PAUSE]",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4551,25.96,ELEVENLABS from Docker setup still not resolved ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/5910,25.64,unable to setup autogpt on macOS,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/7167,25.54,getting error while running,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/7080,25.34,"Unable to install on mac (Poetry Issue, Old Bug Fixes did not work)",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/626,23.240000000000002,Invalid JSON,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3507,23,"Clone GIT within the prompt doesnt include the safe path, but Auto-GPT checks and rejects if ChatGPT didn't magically guess the safe path.",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/560,22.14,Fails to read source code files that exist in the folder.,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/854,21.72,Implement versioning and a changelog,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1563,21.6,Supporting different languages,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2579,21.560000000000002,giving no clone_path causes COMMAND = clone_repository to repeat indefinitely.,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1098,21.3,Google Bard AutoGPT Agents as task workers or orchestration nodes,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2290,21.240000000000002,Instruct AI to use relative paths when restricted to workspace,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4871,21.18,Utilities.py NoneType object has no attribute 'startswith' ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1674,21.18,Discussion: Streamlining Auto-GPT Configuration with YAML 📝,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4687,21.16,“Who is the most beautiful female star in China” dead loop,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3019,21.08,ImportError: Failed to initialize: Bad git executable.,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2472,21.08,autogpt-traceback-errors-when-running-python-m-autogpt,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/400,21.04,Where is the output of the current work in progress?,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3768,20.82,autogpt cant acess local files it created,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2763,20.759999999999998,Latest Auto-gpt is broke on Debian 11 ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/5191,20.68,Auto-GPT developer documentation 📔,OPEN
https://github.com/Significant-Gravitas/AutoGPT/issues/2900,20.68,Fix tests costing a small fortune ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/567,20.28,"We need an autoVicuna, same design as autoGPT,  but using Vicuna",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/438,20.240000000000002,Ability to use LLaMA models so we dont have to pay openai api?,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3536,20.22,[issue in need of revisiting] Retrieval Augmentation / Memory,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1821,20,SYSTEM:  Command browse_website returned: Error: Message: Service /home/appuser/.wdm/drivers/chromedriver/linux64/112.0.5615.49/chromedriver unexpectedly exited. Status code was: 127,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1753,20,"on linux ubuntu, the firefox selenium driver requires a parameter specifying the path to the firefox profile",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4450,19.84,Implement Tree of Thought prompting method,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1157,19.8,System: Command Error: threw the following error: 'dict' object has no attribute 'replace',CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/527,19.72,Auto-GPT repairing issues on its own,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1441,19.66,`--debug` flag needed to display `API Rate Limit Reached. Waiting 20 seconds` error,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/25,19.6,Support using other/local LLMs,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3835,19.5,Help us build challenges!,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1661,19.46,Update installation instructions to automatically clone the stable branch,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2002,19.42,Looking for help in finding a tool to streamline our PR merging process,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/907,19.16,Agents aren't being fed full instructions on instantiation,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/6988,19,"context_length_exceeded | This model's maximum context length is 16385 tokens. However, your messages resulted in 59678 tokens. Please reduce the length of the messages | invalid_request_error",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/145,19,"In --gpt3only mode, receive this error: SYSTEM:  Command evaluate_code returned: Error: The model: `gpt-4` does not exist",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2778,18.94,en_core_web_sm installs every time from run.bat,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/6920,18.5,Poetry command not found ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1548,18.4,Proposal for a new command to prompt the user/ ask the user questions.,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/726,18.04,i keep getting an error saying invalid json pls help,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/2893,17.939999999999998,Add Recency and Importance for Memory Retrieval,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/5,17.9,Display short-term and long-term memory usage,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1494,17.88,Browse website fails with chromedriver error,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/511,17.88,\' in JS code breaks the JSON string decoder,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4795,17.84,Fast LLM is the only model used it appears. The smart LLM does not show up in any debug logs,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3841,17.82,"[""Fix Auto-GPT"" challenges] Inform the community how to report Auto-GPT incorrect behavior.",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/236,17.82,Providing manual input in continuous mode,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/305,17.8,Step back periodically to asses approach,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/160,17.54,Tool that return list of Tools that could possibly be used to solve a Problem,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/1575,17.52,"Auto-GPT/autogpt/json_fixes/auto_fix.py"", line 24, in fix_json   CFG missing",CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/143,17.52,Open source models support,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/666,17.46,Auto-GPT managed to escape it's workplace-boundaries via browser commands,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/3315,17.4,Respondeat Superior ,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/665,17.38,Error: Invalid JSON,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/4604,17.34,[UX] Magic CLI with docker integration and bootstrapping capability,CLOSED
https://github.com/Significant-Gravitas/AutoGPT/issues/558,17.32,Speak mode error,CLOSED
